/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_292.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_292.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_292.jpg,0,0,0,9.116104E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_364.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_364.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_364.jpg,0,0,0,1.436785E-05
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_438.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_438.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_438.jpg,0,0,0,3.094099E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_506.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_506.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_506.jpg,0,0,0,4.130691E-05
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_578.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_578.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_578.jpg,0,0,0,9.383345E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_647.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_647.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_647.jpg,0,0,0,9.30871E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_715.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_715.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_715.jpg,0,0,0,6.141468E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_785.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_785.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_785.jpg,0,0,0,5.92858E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_853.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_853.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_853.jpg,0,0,0,2.123625E-06
/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/center_2020_08_29_23_22_22_922.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/left_2020_08_29_23_22_22_922.jpg,/Users/alaintruong/Documents/PythonProjects/Self-driving car/self_driving_car_data/IMG/right_2020_08_29_23_22_22_922.jpg,0,0,0,9.35062E-06
